127.0.0.1, 2018-04-22 11:49:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.012833
127.0.0.1, 2018-04-22 11:49:29, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.005178
127.0.0.1, 2018-04-22 11:49:29, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002712
127.0.0.1, 2018-04-22 11:49:29, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.043668
127.0.0.1, 2018-04-22 11:49:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.050730
127.0.0.1, 2018-04-22 11:49:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.046348
127.0.0.1, 2018-04-22 11:49:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.043582
127.0.0.1, 2018-04-22 11:49:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.052574
127.0.0.1, 2018-04-22 11:49:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001123
127.0.0.1, 2018-04-22 11:49:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001789
127.0.0.1, 2018-04-22 11:49:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000978
127.0.0.1, 2018-04-22 11:49:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.009528
127.0.0.1, 2018-04-22 11:50:10, GET, /admin, HTTP/1.1, 200, 0.448224
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.003624
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001733
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000890
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.046456
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.048196
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.046630
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002019
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.035804
127.0.0.1, 2018-04-22 11:50:10, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.068686
